name,state,year,state_pop,Male,female,white,share_white,Black,share_black,India,share India,Asian,share_asian,overage18,share_18,overage65, share_65 ,median_income,mean_income, Unemp_rate ,Pop_change,rental,rental_grow
Delaware,DE,2017,"10,516,579","5,113,936","5,402,643","6,353,997",0.6,"3,499,486",0.33,"107,995",0.01,"515,434",0.05,"7,482,329",0.71,"1,523,192",0.145,"61,224","85,691",0.056,"-100,844",1078.414708,0.049350649
Hawaii,HI,2017,"1,420,074","712,250","707,824","604,632",0.43,"51,286",0.04,"32,391",0.02,"803,266",0.57,"1,020,517",0.72,"269,470",0.19,"83,173","107,348",0.046,"4,202",2216.997026,0.003900715
Indiana,IN,2017,"1,754,367","879,763","874,604","1,623,030",0.93,"21,346",0.01,"43,642",0.02,"42,595",0.02,"1,255,411",0.72,"288,617",0.165,"58,915","77,399",0.042,"-32,698",1161.719679,0.080719258
Kansas,KS,2017,"12,716,164","6,247,083","6,469,081","9,367,474",0.74,"1,957,092",0.15,"104,386",0.01,"828,847",0.07,"9,064,396",0.71,"2,045,361",0.161,"68,428","95,115",0.06,"44,343",907.2335047,0.028615935
Kentucky,KY,2017,"6,696,893","3,300,350","3,396,543","5,718,307",0.85,"735,826",0.11,"52,448",0.01,"195,087",0.03,"4,933,505",0.74,"1,084,472",0.162,"58,235","76,984",0.047,"-35,326",896.4023607,0.043193792
Louisiana,LA,2017,"3,150,011","1,564,436","1,585,575","2,894,547",0.92,"156,107",0.05,"28,277",0.01,"97,896",0.03,"2,331,653",0.74,"553,575",0.176,"61,836","80,316",0.039,"-5,059",925.6634897,0.022154349
Massachusetts,MA,2017,"2,912,619","1,451,919","1,460,700","2,548,409",0.87,"216,216",0.07,"62,955",0.02,"110,231",0.04,"2,097,052",0.72,"477,996",0.164,"61,091","82,103",0.041,-695,811.3113839,0.032336442
Michigan,MI,2017,"4,461,952","2,196,522","2,265,430","3,965,298",0.89,"425,351",0.1,"32,270",0.01,"88,096",0.02,"3,362,354",0.75,"754,559",0.169,"52,238","72,318",0.054,"-5,721",911.9525733,0.0302249
Mississippi,MS,2017,"4,664,616","2,276,932","2,387,684","2,968,078",0.64,"1,560,682",0.33,"60,705",0.01,"99,667",0.02,"3,467,869",0.74,"742,194",0.159,"50,800","73,759",0.066,"15,822",1096.223661,0.014195122
Missouri,MO,2017,"1,340,825","656,628","684,197","1,291,593",0.96,"27,832",0.02,"23,349",0.02,"23,244",0.02,"1,070,612",0.8,"285,978",0.213,"59,489","78,301",0.04,"-3,387",1195.636451,0.06298902
Nebraska,NE,2017,"6,037,624","2,925,644","3,111,980","3,501,814",0.58,"1,937,445",0.32,"64,146",0.01,"463,308",0.08,"4,313,168",0.71,"959,887",0.159,"87,063","114,236",0.052,"-8,056",1290.800564,0.036965411
Nevada,NV,2017,"6,873,003","3,335,992","3,537,011","5,546,174",0.81,"662,313",0.1,"52,168",0.01,"538,409",0.08,"5,030,986",0.73,"1,172,293",0.171,"84,385","115,964",0.051,"-19,500",1789.462232,0.053756937
